Cycle,Time Measured(Sec),Voltage Measured(V),Current Measured,Temperature Measured,Capacity(Ah),SampleId
0,3690.234,3.277169977,-0.006528351,34.23085284,1.856487421,B0005
0,3690.234,2.475767757,-2.009435892,39.16298653,2.035337591,B0006
0,3690.234,3.062112709,-0.001433299,37.33847849,1.891052295,B0007
0,3434.891,3.053230339,-0.002433415,37.2056713,1.855004521,B0018
1,3672.344,3.300244887,-0.000447553,34.39213659,1.84632725,B0005
1,3672.344,2.351525512,-2.010374856,39.24620268,2.025140246,B0006
1,3672.344,3.079226238,-0.003230385,37.1617386,1.880637028,B0007
1,3425.485,3.08820017,-0.000910648,37.15547522,1.843195532,B0018
2,3651.641,3.32745101,0.001026019,34.23277872,1.835349194,B0005
2,3651.641,2.440479715,-2.008558887,38.99920246,2.013326371,B0006
2,3651.641,3.063265547,-0.003157783,37.50810004,1.880662672,B0007
2,3410.375,3.076857654,-0.000684881,36.68085193,1.839601842,B0018
3,3631.563,3.314181859,-0.002233622,34.41344995,1.835262528,B0005
3,3631.563,2.479155854,-2.009290448,38.84362777,2.013284666,B0006
3,3631.563,3.039420908,-0.003421518,37.85540509,1.880770901,B0007
3,3404.719,3.10242391,-0.0025472,36.04487047,1.830673604,B0018
4,3629.172,3.305496731,9.24E-06,34.34588499,1.834645508,B0005
4,3629.172,2.280187848,-2.01176084,38.97798888,2.000528338,B0006
4,3629.172,3.043167178,-0.00235509,37.83587047,1.879450873,B0007
4,3417.641,3.117644174,-0.003002155,37.08459677,1.832700207,B0018
5,3652.281,3.302329113,-0.00396723,34.20092692,1.83566166,B0005
5,3652.281,2.439284257,-2.010947045,38.83989921,2.013899076,B0006
5,3652.281,3.123387982,-0.002524129,36.68060295,1.880700352,B0007
5,3411.766,3.114007319,-0.001247787,37.05331129,1.828528885,B0018
6,3650.828,3.29374067,-0.003424827,34.29828476,1.835146143,B0005
6,3650.828,2.281206845,-2.012014627,39.04610837,2.013101106,B0006
6,3650.828,3.118582129,-0.002681968,36.84575704,1.879935252,B0007
6,3399.516,3.169283092,-0.000793812,36.3514535,1.82120119,B0018
7,3572.453,3.316230741,0.001710239,34.76224184,1.825756791,B0005
7,3572.453,2.366410527,-2.009602654,38.87507521,1.968789826,B0006
7,3572.453,3.04842921,-0.003604924,38.24441491,1.881508812,B0007
7,3388.75,3.164680268,-0.00071762,36.12752493,1.815170011,B0018
8,3550.594,3.297410935,-0.001004052,35.05182953,1.824773853,B0005
8,3550.594,2.43602005,-2.010503182,38.72605398,1.968166176,B0006
8,3550.594,3.016246202,0.000274813,38.66297037,1.869690787,B0007
8,3380.406,3.166890959,0.000448821,36.03872902,1.804298052,B0018
9,3551.25,3.288404483,0.001261401,35.02973666,1.824613268,B0005
9,3551.25,2.186437749,-2.012000629,38.98629729,1.957230792,B0006
9,3551.25,3.005452832,-0.006725827,38.74331536,1.87005238,B0007
9,3404.141,3.144175531,-0.000968223,36.34921922,1.82310023,B0018
10,3530.25,3.266275575,0.000285052,35.32247969,1.824619553,B0005
10,3530.25,2.340602361,-2.008605764,38.65978862,1.945599151,B0006
10,3530.25,2.96653348,-0.002366402,39.17593372,1.870044239,B0007
10,3396.141,3.163511863,-0.00010607,36.41785812,1.812125352,B0018
11,3491.016,3.296199859,-0.000775731,35.59296016,1.814201936,B0005
11,3491.016,2.426302137,-2.008093199,38.84979196,1.934750504,B0006
11,3491.016,2.95834762,-0.006579885,39.59267385,1.859651899,B0007
11,3384.094,3.197452536,-0.001104817,35.98523209,1.804691638,B0018
12,3470.281,3.271757416,-0.000472438,35.96127245,1.813752158,B0005
12,3470.281,2.47536977,-2.008861764,38.75128344,1.923279954,B0006
12,3470.281,2.896976192,-0.004714079,39.74652756,1.859074656,B0007
12,3370.656,3.234382458,0.00320499,35.35847798,1.79084435,B0018
13,3470,3.264855084,-0.002505993,35.8696097,1.813440491,B0005
13,3470,2.342364524,-2.01142588,38.76853764,1.911889931,B0006
13,3470,2.876004651,-0.000450805,39.88045079,1.859008458,B0007
13,3357.797,3.241810891,-0.000536101,35.09411802,1.783470723,B0018
14,3450.297,3.309111202,-3.78E-05,35.53204381,1.802598004,B0005
14,3450.297,2.188400082,-2.009440178,38.84686112,1.901066714,B0006
