Cycle,Time Measured(Sec),Voltage Measured(V),Current Measured,Temperature Measured,Capacity(Ah),SampleId
0,3690.2340000000004,2.475767757,-2.009435892,39.16298653,2.035337591,B0006
0,3690.2340000000004,3.0621127089999995,-0.0014332989999999999,37.33847849,1.891052295,B0007
0,3434.8909999999996,3.0532303389999997,-0.002433415,37.2056713,1.855004521,B0018
1,3672.344,2.351525512,-2.010374856,39.24620268,2.025140246,B0006
1,3672.344,3.079226238,-0.003230385,37.1617386,1.8806370280000002,B0007
1,3425.485,3.08820017,-0.000910648,37.15547522,1.843195532,B0018
2,3651.6409999999996,2.440479715,-2.008558887,38.99920246,2.013326371,B0006
2,3651.6409999999996,3.063265547,-0.003157783,37.50810004,1.880662672,B0007
2,3410.375,3.076857654,-0.000684881,36.68085193,1.839601842,B0018
3,3631.563,2.479155854,-2.0092904480000002,38.84362777,2.013284666,B0006
3,3631.563,3.0394209080000003,-0.0034215179999999997,37.85540509,1.880770901,B0007
3,3404.719,3.10242391,-0.0025472,36.04487047,1.830673604,B0018
4,3629.172,2.280187848,-2.01176084,38.97798888,2.000528338,B0006
4,3629.172,3.043167178,-0.00235509,37.83587047,1.8794508730000001,B0007
4,3417.6409999999996,3.1176441739999996,-0.003002155,37.08459677,1.8327002069999998,B0018
5,3652.281,2.4392842569999997,-2.010947045,38.83989921,2.013899076,B0006
5,3652.281,3.1233879819999997,-0.002524129,36.68060295,1.8807003519999999,B0007
5,3411.7659999999996,3.1140073189999997,-0.001247787,37.05331129,1.828528885,B0018
6,3650.828,2.281206845,-2.0120146269999997,39.04610837,2.013101106,B0006
6,3650.828,3.118582129,-0.002681968,36.84575704,1.879935252,B0007
6,3399.5159999999996,3.1692830919999997,-0.000793812,36.3514535,1.82120119,B0018
7,3572.453,2.3664105269999998,-2.009602654,38.87507521,1.9687898259999999,B0006
7,3572.453,3.04842921,-0.0036049240000000002,38.24441491,1.8815088119999999,B0007
7,3388.75,3.164680268,-0.00071762,36.12752493,1.815170011,B0018
8,3550.594,2.43602005,-2.010503182,38.72605398,1.968166176,B0006
8,3550.594,3.016246202,0.000274813,38.66297037,1.869690787,B0007
8,3380.406,3.166890959,0.00044882099999999996,36.03872902,1.8042980519999998,B0018
9,3551.25,2.186437749,-2.012000629,38.98629729,1.9572307919999998,B0006
9,3551.25,3.005452832,-0.006725826999999999,38.74331536,1.87005238,B0007
9,3404.1409999999996,3.144175531,-0.000968223,36.34921922,1.82310023,B0018
10,3530.25,2.3406023609999997,-2.008605764,38.65978862,1.945599151,B0006
10,3530.25,2.96653348,-0.002366402,39.17593372,1.870044239,B0007
10,3396.1409999999996,3.163511863,-0.00010607,36.41785812,1.8121253519999998,B0018
11,3491.0159999999996,2.426302137,-2.008093199,38.84979196,1.9347505040000001,B0006
11,3491.0159999999996,2.95834762,-0.006579885,39.59267385,1.8596518990000002,B0007
11,3384.094,3.197452536,-0.001104817,35.98523209,1.8046916380000002,B0018
12,3470.281,2.47536977,-2.008861764,38.75128344,1.923279954,B0006
12,3470.281,2.896976192,-0.004714079,39.74652756,1.859074656,B0007
12,3370.656,3.2343824580000002,0.00320499,35.35847798,1.79084435,B0018
13,3470.0,2.342364524,-2.01142588,38.76853764,1.911889931,B0006
13,3470.0,2.876004651,-0.000450805,39.88045079,1.8590084580000001,B0007
13,3357.797,3.241810891,-0.000536101,35.09411802,1.7834707230000002,B0018
14,3450.297,2.188400082,-2.009440178,38.84686112,1.9010667140000002,B0006
14,3450.297,2.949033322,-0.0065852409999999995,39.17973626,1.859362259,B0007
14,3363.015,3.227333798,-0.0042955879999999995,35.57799246,1.7809386130000002,B0018
15,3429.407,2.120698095,-2.006293377,38.86588978,1.889198995,B0006
15,3429.407,2.817578543,-0.004489723,39.56365952,1.858735545,B0007
15,3357.7340000000004,3.2384476089999996,-0.001087277,35.99210617,1.77120904,B0018
16,3409.4840000000004,2.3699814580000003,-2.008399903,38.64757873,1.8782783719999998,B0006
16,3409.4840000000004,1.8575547669999999,-1.988671436,39.62894832,1.847817291,B0007
16,3344.187,3.2523652960000002,0.003057635,35.93164465,1.7686304,B0018
17,3390.422,2.24799165,-2.010307487,38.79218188,1.867569716,B0006
17,3390.422,2.165755612,-1.988513259,39.22534721,1.848525292,B0007
17,3339.969,3.2983555819999997,-0.000542197,35.13854125,1.75363048,B0018
18,3390.281,2.88444637,-0.002277241,38.77022224,1.867589257,B0006
18,3390.281,2.027068634,-1.9857907119999998,39.41263216,1.8483789519999998,B0007
18,3327.6409999999996,3.299099453,0.001727477,34.75361973,1.7462197419999999,B0018
19,3591.7340000000004,2.203355847,-2.009911452,37.543206,1.9796265480000002,B0006
19,3591.7340000000004,2.990508602,-0.0031999940000000003,38.26643351,1.880780544,B0007
19,3312.844,3.2829122039999996,0.000396205,34.66683735,1.737664734,B0018
20,3552.297,2.358877512,-2.010023847,37.90362578,1.957549908,B0006
20,3552.297,2.924443669,-0.002762863,39.34502064,1.88147216,B0007
20,3302.031,3.314359923,-0.00076384,34.31957483,1.731516674,B0018
21,3531.578,2.218672914,-2.0106213,37.67016051,1.945815017,B0006
21,3531.578,2.9857016730000003,-0.002733686,38.40282689,1.8810954309999999,B0007
21,3305.547,3.337095987,0.0014606220000000002,34.05159011,1.708594989,B0018
22,3492.907,2.339723058,-2.009836812,37.34166959,1.9242461119999998,B0006
22,3492.907,2.862448292,-0.0022799170000000002,39.19501045,1.871008965,B0007
22,3289.562,3.345396458,0.00033552,34.140049299999994,1.7114699569999998,B0018
23,3511.594,2.399750821,-2.0085491109999998,37.28979017,1.945981133,B0006
23,3511.594,2.913932303,-0.000793744,39.01311177,1.870199515,B0007
23,3283.797,3.3565387760000003,0.001851751,34.03941375,1.7075021369999999,B0018
24,3431.937,2.491410879,-2.011253162,37.16794481,1.901407931,B0006
24,3431.937,2.050649264,-1.9896136819999999,38.86906912,1.870671536,B0007
24,3325.235,3.291271946,0.000648271,34.67226842,1.749238206,B0018
25,3431.125,2.766926989,-0.001348364,37.51577849,1.8786742140000001,B0006
25,3431.125,1.825436974,-1.98974122,39.11839966,1.859612464,B0007
25,3317.547,3.2997248339999996,0.0009227139999999999,35.34646737,1.732769715,B0018
26,3412.406,2.8356128469999997,-0.000999652,37.24165964,1.8683061330000001,B0006
26,3412.406,2.134879001,-1.989867366,38.68010761,1.86003391,B0007
26,3311.7659999999996,3.3437876280000003,-0.001165964,35.22218595,1.722231333,B0018
27,3410.688,2.928394635,-0.003474006,37.10097467,1.8560244069999998,B0006
27,3410.688,1.9704554930000002,-1.9877925269999999,38.86304568,1.859165311,B0007
27,3305.218,3.35820819,0.001578776,35.04987373,1.711846299,B0018
28,3410.718,3.077114958,-0.006584952,36.53635084,1.845199796,B0006
28,3410.718,1.813269431,-1.987021065,39.1453117,1.8481398180000002,B0007
28,3295.453,3.3554780589999997,0.001821746,34.99761831,1.699267835,B0018
29,3392.719,2.819560587,0.00178434,37.4960777,1.8572288909999999,B0006
29,3392.719,2.0483657319999997,-1.98805526,38.83805642,1.8492017019999998,B0007
29,3287.0,3.380671603,-0.0025329370000000003,34.54102016,1.694036644,B0018
30,3470.672,2.434300686,-2.010184355,37.25007396,1.924776089,B0006
30,3470.672,2.88288877,-0.002596243,38.78113988,1.883467744,B0007
30,3276.922,3.39557049,0.0009201000000000001,34.50920677,1.6819027080000002,B0018
31,3414.1090000000004,2.918775739,0.000219946,37.27669936,1.8822317530000001,B0006
31,3414.1090000000004,2.117779935,-1.9877498390000001,39.05387577,1.8628211119999998,B0007
31,3268.687,3.391299823,-0.001831758,34.91065229,1.676977062,B0018
